sunrise,sunset
1999-12-31T23:25:00,2000-01-01T09:01:00
2000-01-01T23:25:00,2000-01-02T09:01:00
2000-01-02T23:25:00,2000-01-03T09:02:00
2000-01-03T23:26:00,2000-01-04T09:03:00
2000-01-04T23:26:00,2000-01-05T09:04:00
2000-01-05T23:26:00,2000-01-06T09:05:00
2000-01-06T23:26:00,2000-01-07T09:06:00
2000-01-07T23:25:00,2000-01-08T09:07:00
2000-01-08T23:25:00,2000-01-09T09:08:00
2000-01-09T23:25:00,2000-01-10T09:09:00
2000-01-10T23:25:00,2000-01-11T09:10:00
2000-01-11T23:25:00,2000-01-12T09:11:00
2000-01-12T23:25:00,2000-01-13T09:12:00
2000-01-13T23:24:00,2000-01-14T09:13:00
2000-01-14T23:24:00,2000-01-15T09:14:00
2000-01-15T23:24:00,2000-01-16T09:15:00
2000-01-16T23:23:00,2000-01-17T09:16:00
2000-01-17T23:23:00,2000-01-18T09:17:00
2000-01-18T23:23:00,2000-01-19T09:18:00
2000-01-19T23:22:00,2000-01-20T09:19:00
2000-01-20T23:22:00,2000-01-21T09:20:00
2000-01-21T23:21:00,2000-01-22T09:21:00
2000-01-22T23:20:00,2000-01-23T09:22:00
2000-01-23T23:20:00,2000-01-24T09:23:00
2000-01-24T23:19:00,2000-01-25T09:24:00
2000-01-25T23:19:00,2000-01-26T09:26:00
2000-01-26T23:18:00,2000-01-27T09:27:00
2000-01-27T23:17:00,2000-01-28T09:28:00
2000-01-28T23:16:00,2000-01-29T09:29:00
2000-01-29T23:16:00,2000-01-30T09:30:00
2000-01-30T23:15:00,2000-01-31T09:31:00
2000-01-31T23:14:00,2000-02-01T09:32:00
2000-02-01T23:13:00,2000-02-02T09:33:00
2000-02-02T23:12:00,2000-02-03T09:35:00
2000-02-03T23:11:00,2000-02-04T09:36:00
2000-02-04T23:10:00,2000-02-05T09:37:00
2000-02-05T23:09:00,2000-02-06T09:38:00
2000-02-06T23:08:00,2000-02-07T09:39:00
2000-02-07T23:07:00,2000-02-08T09:40:00
2000-02-08T23:06:00,2000-02-09T09:41:00
2000-02-09T23:05:00,2000-02-10T09:42:00
2000-02-10T23:04:00,2000-02-11T09:43:00
2000-02-11T23:03:00,2000-02-12T09:45:00
2000-02-12T23:02:00,2000-02-13T09:46:00
2000-02-13T23:01:00,2000-02-14T09:47:00
2000-02-14T23:00:00,2000-02-15T09:48:00
2000-02-15T22:58:00,2000-02-16T09:49:00
2000-02-16T22:57:00,2000-02-17T09:50:00
2000-02-17T22:56:00,2000-02-18T09:51:00
2000-02-18T22:55:00,2000-02-19T09:52:00
2000-02-19T22:54:00,2000-02-20T09:53:00
2000-02-20T22:52:00,2000-02-21T09:54:00
2000-02-21T22:51:00,2000-02-22T09:55:00
2000-02-22T22:50:00,2000-02-23T09:56:00
2000-02-23T22:48:00,2000-02-24T09:57:00
2000-02-24T22:47:00,2000-02-25T09:58:00
2000-02-25T22:46:00,2000-02-26T09:59:00
2000-02-26T22:44:00,2000-02-27T10:01:00
2000-02-27T22:43:00,2000-02-28T10:02:00
2000-02-28T22:42:00,2000-02-29T10:03:00
2000-02-29T22:40:00,2000-03-01T10:04:00
2000-03-01T22:39:00,2000-03-02T10:05:00
2000-03-02T22:37:00,2000-03-03T10:06:00
2000-03-03T22:36:00,2000-03-04T10:07:00
2000-03-04T22:34:00,2000-03-05T10:08:00
2000-03-05T22:33:00,2000-03-06T10:09:00
2000-03-06T22:31:00,2000-03-07T10:09:00
2000-03-07T22:30:00,2000-03-08T10:10:00
2000-03-08T22:29:00,2000-03-09T10:11:00
2000-03-09T22:27:00,2000-03-10T10:12:00
2000-03-10T22:26:00,2000-03-11T10:13:00
2000-03-11T22:24:00,2000-03-12T10:14:00
2000-03-12T22:23:00,2000-03-13T10:15:00
2000-03-13T22:21:00,2000-03-14T10:16:00
2000-03-14T22:20:00,2000-03-15T10:17:00
2000-03-15T22:18:00,2000-03-16T10:18:00
2000-03-16T22:16:00,2000-03-17T10:19:00
2000-03-17T22:15:00,2000-03-18T10:20:00
2000-03-18T22:13:00,2000-03-19T10:21:00
2000-03-19T22:12:00,2000-03-20T10:22:00
2000-03-20T22:10:00,2000-03-21T10:23:00
2000-03-21T22:09:00,2000-03-22T10:24:00
2000-03-22T22:07:00,2000-03-23T10:25:00
2000-03-23T22:06:00,2000-03-24T10:26:00
2000-03-24T22:04:00,2000-03-25T10:27:00
2000-03-25T22:03:00,2000-03-26T10:27:00
2000-03-26T22:01:00,2000-03-27T10:28:00
2000-03-27T22:00:00,2000-03-28T10:29:00
2000-03-28T21:58:00,2000-03-29T10:30:00
2000-03-29T21:57:00,2000-03-30T10:31:00
